number	weight	plant
1	0.0459	 B57HE1
2	0.0408	 B28HE2
3	0.0303	 C8HE1
4	0.035	 B28HE1
5	0.033	 B61HE2
6	0.043	 B57HE2
7	0.0597	 B24HE2
8	0.0303	 B57HE3
9	0.0268	 C26HE2
10	0.0344	 C30HE2
11	0.0254	 B24HE1
12	0.0379	 B24HE3
13	0.0367	 C26HE1
14	0.0238	 C1HE2
15	0.0424	 C30HE1
16	0.0275	 C55HE2
17	0.0372	 C8HE2
18	0.0444	 B60HE1
19	0.0273	 B60HE2
20	0.04	 C1HE1
21	0.0344	 C55HE1
22	0.0343	 C50HE2
23	0.0284	 B61HE1
24	0.0305	 C50HE1
25	0.0306	 B600R2
26	0.0347	 C550R1
27	0.0426	 B28HR2
28	0.0518	 B24HR1
29	0.0383	 C500R1
30	0.0335	 C30HR1
31	0.0245	 C260R2
32	0.0429	 C8HR2
33	0.0378	 C300R2
34	0.0421	 C500R2
35	0.0219	 C55HR1
36	0.0301	 C30HR2
37	0.0404	 B570R3
38	0.0213	 B600R1
39	0.046	 B280R1
40	0.0392	 C550R2
41	0.0357	 B240R3
42	0.0299	 B240R2
43	0.0364	 B60HR2
44	0.0214	 B28HR1
45	0.0278	 C50HR2
46	0.036	 C26HR1
47	0.0259	 B240R1
48	0.0318	 B60HR1
49	0.0295	 B570R2
50	0.0214	 B570R1
51	0.0303	 B61HR2
52	0.0317	 C8HR1
53	0.035	 C80R2
54	0.036	 C80R1
55	0.02	 B24HR3
56	0.0306	 B61HR1
57	0.0384	 B610R2
58	0.0286	 B24HR2
59	0.0335	 B57HR2
60	0.0325	 B57HR1
61	0.0221	 C50HR1
62	0.0321	 B610R1
63	0.0216	 C26HR2
64	0.0309	 C1HR2
65	0.0276	 C300R1
66	0.0269	 C55HR2
67	0.0295	 C260R1
68	0.032	 B280R2
69	0.0452	 C1HR1
70	0.0314	 C10R2
71	0.0342	 C10R1
72	0.0209	 B57HR3
101	0.0272	 B37HE2
102	0.0294	 C45HE2
103	0.0344	 C5HE3
104	0.02	 C45HE3
105	0.0346	 C8HE3
106	0.038	 B3HE3
107	0.0365	 C5HE2
108	0.0254	 B30HE1
109	0.0365	 B61HE3
110	0.0348	 C5HE1
111	0.035	 B30HE2
112	0.0353	 B30HE3
113	0.0341	 C61HE3
114	0.0377	 B37HE3
115	0.0364	 C64HE2
116	0.0285	 C26HE3
117	0.0368	 C55HE3
118	0.028	 C50HE3
119	0.0375	 B37HE1
120	0.0437	 C30HE3
121	0.0273	 C13HE1
122	0.0205	 B3HE1
123	0.0309	 C64HE1
124	0.0375	 C61HE2
125	0.0354	 B28HE3
126	0.0305	 C61HE1
127	0.0254	 C13HE2
128	0.029	 C1HE3
129	0.025	 C45HE1
130	0.0259	 B60HE3
131	0.0324	 C64HE3
132	0.0249	 B3HE2
201	0.0304	 C610R1
203	0.0235	 C61HR3
204	0.0474	 C130R2
205	0.0316	 C130R1
206	0.0231	 C61HR2
207	0.0271	 C5HR2
208	0.0231	 B3HR2
209	0.0332	 B300R2
210	0.035	 B30HR1
211	0.0392	 C13HR2
212	0.04	 C610R2
213	0.035	 C610R3
214	0.0362	 C50R2
215	0.0349	 C61HR1
216	0.0331	 B300R3
217	0.0318	 B3HR1
218	0.0238	 B30HR2
219	0.026	 B30R1
221	0.025	 C13HR1
222	0.0415	 C5HR3
223	0.0287	 B3HR3
224	0.0313	 C50R1
225	0.0424	 B30R3
226	0.021	 C5HR1
227	0.0314	 B300R1
228	0.0385	 B30R2
229	0.032	 C50R3
230	0.0245	 B37HR1
231	0.0458	 B370R3
232	0.0273	 B37HR2
233	0.0215	 B370R2
234	0.0316	 B30HR3
235	0.0264	 B37HR3
236	0.0269	 B370R1
237	0.0238	 C64HR3
238	0.0229	 C64HR2
239	0.0255	 C64HR1
240	0.032	 C640R3
241	0.0278	 B610R3
242	0.0291	 C50HR3
243	0.0316	 B280R3
244	0.0278	 B600R3
245	0.0335	 C640R2
246	0.0369	 B61HR3
247	0.0455	 C10R3
248	0.031	 C260R3
249	0.0262	 C1HR3
250	0.0201	 C26HR3
251	0.0313	 C300R3
252	0.0348	 B28HR3
253	0.0376	 B60HR3
254	0.0289	 C45HR2
255	0.0244	 C8HR3
256	0.0348	 C80R3
257	0.0332	 C450R2
258	0.0283	 C450R3
259	0.0288	 C640R1
260	0.0276	 C45HR3
261	0.0248	 C55HR3
262	0.0248	 C550R3
263	0.0421	 C30HR3
264	0.03	 C45OR1
265	0.0362	 C500R3
266	0.0282	 C45HR1
301	0.024	 B14HE1
302	0.0377	 C19HE3
303	0.0336	 C43HE3
304	0.0303	 B56HE1
305	0.0416	 B53HE2
306	0.0403	 C13HE3
307	0.0291	 B56HE3
308	0.0372	 C15HE2
309	0.0322	 C19HE1
310	0.0312	 C15HE3
311	0.0264	 C43HE1
312	0.0379	 C19HE2
313	0.0388	 C34HE2
314	0.0377	 C34HE3
315	0.0369	 B56HE2
316	0.0283	 C15HE1
317	0.0378	 C34HE1
318	0.0302	 B14HE2
319	0.0378	 C43HE2
320	0.0254	 B53HE1
321	0.0281	 B53HE3
322	0.028	 B14HE3
