"sample","code"
1,"C1oE1"
2,"C26oE1"
3,"C26oE2"
4,"C1oE2"
5,"C26hE1"
6,"C1hE1"
7,"C26hE2"
8,"C1hE2"
9,"C55oE1"
10,"C8oE2"
11,"C8oE1"
12,"C55oE2"
13,"C55hE1"
14,"C8hE1"
15,"C8hE2"
16,"C55hE2"
17,"B28hE2"
18,"B28hE1"
19,"B28oE2"
20,"B28oE1"
21,"B61hE2"
22,"B61hE1"
23,"B61oE1"
24,"B61oE2"
25,"C50oE1"
26,"C50oE2"
27,"C50hE1"
28,"C50hE2"
29,"C30oE2"
30,"C30hE2"
31,"C30oE1"
32,"C30hE1"
33,"B57oE2"
34,"B57hE3"
35,"B57oE3"
36,"B57oE1"
37,"B60hE2"
38,"B60hE2"
39,"B60hE1"
40,"B60oE1"
41,"B24hE1"
42,"B24oE3"
43,"B24hE2"
44,"B24hE3"
45,"B24oE2"
46,"B57hE1"
47,"B57hE2"
48,"B24oE1"
49,"C45oE3"
50,"C45hE3"
51,"C45oE2"
52,"C45hE2"
53,"C50oE3"
54,"C45oE1"
55,"C50oE3"
56,"C45hE1"
57,"C8hE3"
58,"C55hE3"
59,"C8oE3"
60,"C55oE3"
61,"C26oE3"
62,"C26hE3"
63,"C1oE3"
64,"C1hE3"
65,"C64hE1"
66,"B37hE3"
67,"C64oE1"
68,"B37oE3"
69,"C64oE2"
70,"C64hE2"
71,"C64oE3"
72,"C64hE3"
73,"C30oE3"
74,"B28hE3"
75,"B28oE3"
76,"C30hE3"
77,"B61oE3"
78,"B60hE3"
79,"B60oE3"
80,"B61hE3"
81,"B37oE2"
82,"B37oE1"
83,"B37hE2"
84,"B37hE1"
85,"C5hE3"
86,"C5oE3"
87,"C5oE2"
88,"C5hE2"
89,"C5hE1"
90,"C5oE1"
91,"B30oE3"
92,"B30hE3"
93,"B30hE1"
94,"B30oE1"
95,"B30oE2"
96,"B30hE2"
97,"B3oE1"
98,"B3hE1"
99,"C61hE3"
100,"C61oE3"
101,"C61hE1"
102,"C61oE1"
103,"C61hE2"
104,"C61oE2"
105,"C13hE1"
106,"C13oE2"
107,"C13oE1"
108,"C13oE2"
109,"B3hE3"
110,"B3oE2"
111,"B3hE2"
112,"B3oE3"
113,"B14oE1"
114,"B14hE1"
115,"C13hE3"
116,"C13oE3"
117,"B14hE3"
118,"B14oE3"
119,"B14oE2"
120,"B14hE2"
121,"B56oE2"
122,"B56hE2"
123,"B56hE1"
124,"B56oE1"
125,"B56oE3"
126,"B53hE1"
127,"B53oE1"
128,"B56hE3"
129,"C15oE1"
130,"C19oE3"
131,"C15hE1"
132,"C19hE3"
133,"C19oE1"
134,"C19hE1"
135,"C19oE2"
136,"C19hE2"
137,"C34oE1"
138,"C34hE1"
139,"C34oE2"
140,"C34hE2"
141,"C15oE2"
142,"C15hE2"
143,"C15oE3"
144,"C15hE3"
145,"C43oE2"
146,"C43oE3"
147,"C43hE3"
148,"C43hE2"
149,"C34oE3"
150,"C34hE1"
151,"C34hE3"
152,"C34oE1"
153,"S1"
154,"S2"
155,"S3"
156,"S4"
157,"B53hE2"
158,"B53oE2"
159,"B53oE3"
160,"B53hE3"
