ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
B3h1;B;3;h;1;0.0205;3;35;0.855872108;0.519668503;0.151454228;0.329492884;2.334604825;0;0.443333567;0.268275577;2.413545084;0.165949748;0.435422787;1.203878893;0.323135427;0.229743806;0.740257311;0.546651653;0.154956998;11.1162434
B3h2;B;3;h;2;0.0249;3;37;4.132388904;3.101094127;1.06450339;1.834341726;6.588074467;0.470753231;2.398614747;1.434648548;5.889691103;0.505090907;3.105585062;2.982188153;2.284123761;2.395045289;7.526608914;4.397283162;1.520573746;51.63060924
B3h3;B;3;h;3;0.038;3;60;6.242535755;6.041621686;1.749458256;2.670044521;15.18004807;1.124203144;3.873779599;1.162909263;15.80572869;1.311122493;3.363319018;6.611733186;2.757613963;1.890161932;5.746771207;4.732697687;1.577770773;81.84151925
B14h1;B;14;h;1;0.024;3;4;5.827948289;1.039122692;0.757967397;2.210282214;19.54076439;0.81010811;1.738844922;0.827536509;10.92330421;0.521771953;3.159044526;9.247595242;2.316290225;1.878597204;5.970792532;6.820915524;1.379083031;74.96996897
B14h2;B;14;h;2;0.0302;4;37;4.878179956;0.956336191;0.808860855;2.166408971;0.375267669;0.447823602;0.845572268;0.27431344;1.787936816;0.244627743;1.375560947;0.79820152;0.864667637;1.080543426;4.93219904;0.188844682;1.271201682;23.29654644
B14h3;B;14;h;3;0.028;3;25;3.667796699;0.818683369;0.595863509;1.563611927;2.492041495;0;0.997053566;0.244830691;2.628639656;0.290110263;2.035030991;2.645791088;1.442956873;1.530786194;4.939789913;1.697461995;1.073371175;28.6638194
B24h1;B;24;h;1;0.0254;3;30;12.35177839;16.44864117;4.300266997;5.002307619;6.435157814;2.809354439;8.74454086;3.41974826;10.19301039;3.554724897;7.994869839;5.394526557;6.304510346;6.60789549;21.14815486;2.154705826;7.015304663;129.8794984
B24h2;B;24;h;2;0.0597;3;70;6.412605603;10.41325789;2.607104405;2.002962788;3.944492907;1.23603285;4.258320563;2.273881096;4.355621046;2.338457307;3.908279304;3.147652167;2.905057173;2.787111478;8.407528783;0.94996267;2.202750599;64.15107863
B24h3;B;24;h;3;0.0379;3;14;9.004391385;12.41073057;3.512225263;2.897438727;4.919211757;1.839629858;6.232743402;1.289294436;5.099515991;2.973585489;5.286175597;4.303034984;3.766859387;3.524774178;14.81506164;1.960823256;3.007532292;86.84302822
B28h1;B;28;h;1;0.035;3;67;10.04007673;3.125689833;0.837456102;4.293014608;41.78586985;3.188844622;2.764733658;2.03161871;21.50251734;1.260392504;7.238919876;18.99760956;7.181159805;10.91647632;17.99500074;16.69570016;4.220451527;174.0755319
B28h2;B;28;h;2;0.0408;3;10;4.900451665;0.963098655;0.204306653;2.344277872;14.67154412;1.235419405;0.991807183;0.787759907;6.871077237;0.614578475;2.844423772;5.964709785;3.317110642;6.293088355;9.238891064;7.387254621;3.204366509;71.83416592
