ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;larva_receiver;size_receiver;herbivory_receiver
B3o1;B;3;c;1;0;4;0;0.026;3;20
B3o2;B;3;c;2;0;3;0;0.0385;3;65
B3o3;B;3;c;3;0;3;0;0.0424;3;70
B14o1;B;14;c;1;0;3;0;0.0409;2;100
B14o2;B;14;c;2;0;3;0;0.0382;3;90
B14o3;B;14;c;3;0;3;0;0.0375;2;75
B24o1;B;24;c;1;0;4;0;0.0259;4;10
B24o2;B;24;c;2;0;4;0;0.0299;4;2
B24o3;B;24;c;3;0;3;0;0.0357;3;20
B28o1;B;28;c;1;0;4;0;0.046;3;12
B28o2;B;28;c;2;0;3;0;0.032;3;5
B28o3;B;28;c;3;0;3;0;0.0316;3;30
B30o1;B;30;c;1;0;3;0;0.0314;3;50
B30o2;B;30;c;2;0;4;0;0.0332;3;15
B30o3;B;30;c;3;0;4;0;0.0331;3;65
B37o1;B;37;c;1;0;3;0;0.0269;3;45
B37o2;B;37;c;2;0;3;0;0.0215;3;17
B37o3;B;37;c;3;0;3;0;0.0458;3;40
B53o1;B;53;c;1;0;4;0;0.0346;3;45
B53o2;B;53;c;2;0;3;0;0.0382;3;75
B53o3;B;53;c;3;0;3;0;0.0379;3;75
B56o1;B;56;c;1;0;3;0;0.0351;3;55
B56o2;B;56;c;2;0;3;0;0.0354;3;50
B56o3;B;56;c;3;0;3;0;0.0355;3;45
B57o1;B;57;c;1;0;4;0;0.0214;4;10
B57o2;B;57;c;2;0;4;0;0.0295;4;5
B57o3;B;57;c;3;0;4;0;0.0404;4;3
B60o1;B;60;c;1;0;3;0;0.0213;3;10
B60o2;B;60;c;2;0;4;0;0.0306;3;3
B60o3;B;60;c;3;0;3;0;0.0278;3;37
B61o1;B;61;c;1;0;3;0;0.0321;2;10
B61o2;B;61;c;2;0;3;0;0.0384;3;10
B61o3;B;61;c;3;0;3;0;0.0278;3;20
B3h1;B;3;h;1;0.0205;3;35;0.0318;4;40
B3h2;B;3;h;2;0.0249;3;37;0.0231;3;5
B3h3;B;3;h;3;0.038;3;60;0.0287;3;75
B14h1;B;14;h;1;0.024;3;4;0.0383;2;70
B14h2;B;14;h;2;0.0302;4;37;0.0355;3;45
B14h3;B;14;h;3;0.028;3;25;0.0355;2;47
B24h1;B;24;h;1;0.0254;3;30;0.0518;3;15
B24h2;B;24;h;2;0.0597;3;70;0.0286;3;4
B24h3;B;24;h;3;0.0379;3;14;0.02;3;0
B28h1;B;28;h;1;0.035;3;67;0.0214;3;0
B28h2;B;28;h;2;0.0408;3;10;0.0426;3;17
B28h3;B;28;h;3;0.0354;3;28;0.0348;3;25
B30h1;B;30;h;1;0.0254;3;16;0.035;3;9
B30h2;B;30;h;2;0.035;3;40;0.0238;3;25
B30h3;B;30;h;3;0.0353;2;2;0.0316;3;32
B37h1;B;37;h;1;0.0375;4;17;0.0245;4;15
B37h2;B;37;h;2;0.0272;4;35;0.0273;4;22
B37h3;B;37;h;3;0.0377;4;0;0.0264;4;20
B53h1;B;53;h;1;0.0254;3;10;0.0361;3;55
B53h2;B;53;h;2;0.0416;3;37;0.0334;4;24
B53h3;B;53;h;3;0.0281;4;40;0.0361;4;50
B56h1;B;56;h;1;0.0303;3;44;0.0346;4;45
B56h2;B;56;h;2;0.0369;4;28;0.0322;4;18
B56h3;B;56;h;3;0.0291;4;22;0.0338;4;35
B57h1;B;57;h;1;0.0459;4;17;0.0325;4;0
B57h2;B;57;h;2;0.043;4;25;0.0335;4;0
B57h3;B;57;h;3;0.0303;3;22;0.0209;4;11
B60h1;B;60;h;1;0.0444;3;67;0.0318;3;9
B60h2;B;60;h;2;0.0273;4;19;0.0364;4;10
B60h3;B;60;h;3;0.0259;3;12;0.0376;3;14
B61h1;B;61;h;1;0.0284;3;35;0.0306;3;7
B61h2;B;61;h;2;0.033;3;18;0.0303;2;0
B61h3;B;61;h;3;0.0365;3;54;0.0369;3;37
C1o1;C;1;c;1;0;4;0;0.0342;4;8
C1o2;C;1;c;2;0;3;0;0.0314;3;10
C1o3;C;1;c;3;0;3;0;0.0455;3;25
C5o1;C;5;c;1;0;3;0;0.0313;3;50
C5o2;C;5;c;2;0;3;0;0.0362;3;25
C5o3;C;5;c;3;0;3;0;0.032;2;30
C8o1;C;8;c;1;0;4;0;0.036;4;15
C8o2;C;8;c;2;0;3;0;0.035;3;7
C8o3;C;8;c;3;0;3;0;0.0348;3;20
C13o1;C;13;c;1;0;3;0;0.0316;2;10
C13o2;C;13;c;2;0;3;0;0.0474;2;25
C13o3;C;13;c;3;0;3;0;0.0318;3;10
C15o1;C;15;c;1;0;4;0;0.0338;3;35
C15o2;C;15;c;2;0;3;0;0.0325;3;15
C15o3;C;15;c;3;0;4;0;0.0318;4;5
C19o1;C;19;c;1;0;4;0;0.0346;3;40
C19o2;C;19;c;2;0;4;0;0.0333;4;30
C19o3;C;19;c;3;0;4;0;0.0335;4;25
C26o1;C;26;c;1;0;3;0;0.0295;3;5
C26o2;C;26;c;2;0;3;0;0.0245;2;5
C26o3;C;26;c;3;0;4;0;0.031;3;8
C30o1;C;30;c;1;0;3;0;0.0276;2;15
C30o2;C;30;c;2;0;4;0;0.0378;3;10
C30o3;C;30;c;3;0;3;0;0.0313;3;20
