Treat;Gen;Mean;upper;lower;SE2
h;1;88.29599346;94.91668385;46.01029475;70.4634893
c;1;59.75640707;64.58068787;31.30510215;47.94289501
h;3;33.36512194;34.68226953;17.26148369;25.97187661
c;3;15.10325659;16.93123292;8.253434278;12.5923336
h;5;13.86494287;15.11291263;7.493951089;11.30343186
c;5;24.20505183;28.42861944;13.35998095;20.8943002
h;8;116.8633609;125.2822095;60.7298017;93.00600562
c;8;52.41901086;56.78144303;27.52446487;42.15295395
h;13;8.474811466;11.61951689;5.219067894;8.419292394
c;13;14.20391644;17.14840173;8.058861984;12.60363186
h;14;36.6504484;39.58631024;19.29705955;29.4416849
c;14;17.47870785;18.64924347;9.281792005;13.96551774
h;15;45.14281535;46.91254738;23.26224892;35.08739815
c;15;46.80628009;48.60376123;24.10086119;36.35231121
h;19;38.10778264;47.36204529;21.42047251;34.3912589
c;19;42.93389448;53.87871104;24.20037369;39.03954237
h;24;82.17636161;83.9439766;41.7792031;62.86158985
c;24;94.036191;105.7176321;50.04637482;77.88200346
h;26;41.64814908;45.33261489;21.97471391;33.6536644
c;26;41.051342;44.69824209;21.66720549;33.18272379
h;28;107.7740894;109.7779397;54.63685456;82.20739715
c;28;109.4708818;116.1509301;56.61986181;86.38539597
h;30;53.49132726;28.36869833;18.65613743;23.51241788
c;30;43.85869938;22.76039706;15.09931163;18.92985434
h;34;61.09492093;61.44657023;30.88452215;46.16554619
c;34;51.62975436;55.94250719;27.11779574;41.53015146
h;37;54.65269444;66.32056554;30.26006003;48.29031278
c;37;8.975185999;10.06724463;5.010501947;7.53887329
h;43;35.73722651;45.0530151;20.2361894;32.64460225
c;43;31.60695632;39.98782257;17.96108761;28.97445509
h;45;19.08049883;22.64866835;10.64370285;16.6461856
c;45;28.44743418;33.21357582;15.60866299;24.41111941
h;50;244.0824959;311.878484;137.2375445;224.5580142
c;50;100.4861659;103.1791088;51.16281776;77.17096327
h;53;14.51738807;16.31524097;7.953157915;12.13419944
c;53;51.31832477;55.00836042;26.81481553;40.91158798
h;55;83.83153509;102.7364564;46.46470454;74.60058048
c;55;62.49528167;71.61592888;33.65578295;52.63585592
h;56;41.32621463;47.08340201;22.28912564;34.68626383
c;56;20.22163051;26.42727941;11.77004804;19.09866373
h;57;111.2688356;124.8871123;59.12114287;92.00412758
c;57;111.3876447;133.9308407;61.1085754;97.51970806
h;60;77.62707154;82.66981616;40.29889009;61.48435313
c;60;14.93036871;19.83807536;8.835381667;14.33672851
h;61;63.27270026;32.61066856;21.63400954;27.12233905
c;61;59.83497441;30.86643598;20.47688073;25.67165835
h;64;39.48460345;41.15994793;20.40974127;30.7848446
c;64;50.98358582;55.25566589;26.78485353;41.02025971
