ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;larva_receiver;size_receiver;herbivory_receiver
B30o1;B;30;c;1;0;3;0;0.0314;3;50
B30o2;B;30;c;2;0;4;0;0.0332;3;15
B30o3;B;30;c;3;0;4;0;0.0331;3;65
B61o1;B;61;c;1;0;3;0;0.0321;2;10
B61o2;B;61;c;2;0;3;0;0.0384;3;10
B61o3;B;61;c;3;0;3;0;0.0278;3;20
B30h1;B;30;h;1;0.0254;3;16;0.035;3;9
B30h2;B;30;h;2;0.035;3;40;0.0238;3;25
B30h3;B;30;h;3;0.0353;2;2;0.0316;3;32
B61h1;B;61;h;1;0.0284;3;35;0.0306;3;7
B61h2;B;61;h;2;0.033;3;18;0.0303;2;0
B61h3;B;61;h;3;0.0365;3;54;0.0369;3;37
C30o1;C;30;c;1;0;3;0;0.0276;2;15
C30o2;C;30;c;2;0;4;0;0.0378;3;10
C30o3;C;30;c;3;0;3;0;0.0313;3;20
C61o1;C;61;c;1;0;4;0;0.0304;4;20
C61o2;C;61;c;2;0;4;0;0.04;4;40
C61o3;C;61;c;3;0;4;0;0.035;3;55
C30h1;C;30;h;1;0.0424;3;25;0.0335;4;0
C30h2;C;30;h;2;0.0344;3;27;0.0301;3;4
C30h3;C;30;h;3;0.0437;4;0;0.0421;4;6
C61h1;C;61;h;1;0.0305;4;17;0.0349;4;15
C61h2;C;61;h;2;0.0375;4;18;0.0231;4;13
C61h3;C;61;h;3;0.0341;4;7;0.0235;4;16
