population,genotype,greenhouse_flower_time,seed_weight,seed_germination,rosettes1,adults1,survival1,flower_time1,fruits1,seeds1,fitness1,rosettes2,adults2,survival2,flower_time2,fruits2,seeds2,fitness2
Bon,3,57.83,145,16,43.14,42.29,0.98,102.57,5.34,127.26,125.33,45.6,37,0.82,97.2,3.17,60.89,52.21
Bon,14,62,134,14.5,47.88,44.5,0.93,102.75,5,117.95,113.57,40.43,17.71,0.43,100,3.34,72.68,23.94
Bon,24,63.42,137.33,40,26.5,25.75,0.97,103.88,4.97,112.42,106.91,48,35.86,0.75,94.57,4.65,110,64.3
Bon,28,63.33,147.67,49.5,NA,NA,NA,NA,NA,NA,NA,46.75,36.13,0.74,95.63,3.31,66.03,50.48
Bon,30,62.09,149,53.5,28,28,1,103.83,4.91,112.25,112.25,48.14,41.86,0.86,94.71,3.13,59.08,45.45
Bon,37,60,169,56,23,21.5,0.93,104.63,5.01,115.65,106.5,46.33,34,0.7,96.67,4.05,87.07,61.7
Bon,53,63,159.33,52.5,12,11,0.9,111.83,5.27,125.23,109.04,43.13,30.63,0.68,98.5,3.66,73.06,40.47
Bon,56,58.56,134,39,27.5,26.13,0.94,104.88,5.4,130.27,122.87,39.8,30.2,0.75,96.4,3.5,76.63,59.22
Bon,57,63,139.67,45.67,17.33,14.5,0.86,108.83,5.73,145.35,126.98,47.25,40.75,0.81,96.38,3.81,80.59,61.52
Bon,60,62.17,169.33,34,14.71,14,0.92,107.71,5.34,126.52,111.67,45.75,33.63,0.69,93.75,4.11,89.14,57.09
Bon,61,63.78,140,45,NA,NA,NA,NA,NA,NA,NA,45.75,23.88,0.52,97.5,3.9,84.32,39.22
Cai,1,98.6,139.33,56,26.57,22,0.83,117.86,4.41,100.62,89.36,10.5,8.5,0.82,117.5,7.03,186.76,150.11
Cai,5,105,142.67,50,29.86,24.71,0.83,120.86,4.12,90.88,76.1,4,3,0.75,119,4.33,88.27,66.2
Cai,8,91.67,132,50,34.88,33.38,0.95,119,3.79,78.72,75.62,13.33,10,0.75,118.83,5.2,133.27,98.49
Cai,13,92.7,143,58,35.13,27.63,0.79,128.63,2.84,50.05,42.2,19.75,11.75,0.6,122,5.89,151.99,91.68
Cai,15,100,154,59,35,27.86,0.8,128.71,3.16,59.67,52.61,15,4.8,0.37,124,4.23,89.51,27.46
Cai,19,87.67,126.67,59,41,39.25,0.94,122.63,3.65,76.4,71.78,19.5,16.5,0.83,120,5.56,130.33,108.07
Cai,26,87.17,141,60,33.57,32.86,0.98,118.71,3.31,66.96,65.41,24.67,19,0.84,116.33,6.09,155.01,120.06
Cai,30,84.43,148.33,57,32.57,30.86,0.93,120.57,4.4,96.52,90.89,6.4,3.6,0.61,115.8,7.25,196.4,127.22
Cai,34,101.43,123,51.33,31.43,30.29,0.93,119.43,4,85.35,81.25,3.67,2.33,0.64,119,9.11,267.85,156.89
Cai,43,87.64,162.33,59.67,38.14,35.57,0.95,113.57,4.41,99.12,96.92,25.5,12.75,0.49,112.25,6.34,168.25,85.94
Cai,45,95.7,113.67,59.67,34.14,32.86,0.97,121.29,4.53,104.45,103.86,17.75,9,0.58,114,5.2,121.79,85.54
Cai,50,105.88,125.67,44,24.5,21.67,0.87,121.67,4.21,94.54,74.69,4.67,2.67,0.58,116.67,5.75,143.25,70.01
Cai,55,99.25,131,55.33,27.88,21.25,0.74,129.63,3.65,75.15,56.82,7.17,4.33,0.57,123.5,8.01,230.93,134.36
Cai,61,102.89,133.33,57,23.86,18,0.72,120,3.45,67.55,49.48,5.33,2.33,0.43,115.67,5.67,135.85,59.54
Cai,64,96.7,141.67,49.67,23.63,21.25,0.9,119.25,4.03,87.54,75.86,3,2,0.67,114,2,24.46,12.23
