"id","compound","type"
"voc1","(E)-2-Methyl-2-butenal","GLVs"
"voc2","alpha-Pinene","Terpenes"
"voc3","beta-Pinene","Terpenes"
"voc4","5-Methyl-2-heptanone","Ketones"
"voc5","6-Methyl-5-hepten-2-one","Ketones"
"voc6","Butanoic acid, butyl ester","Alcohols and esters"
"voc7","2-Ethyl-1-hexanol","Alcohols and esters"
"voc8","Acetophenone","Ketones"
"voc9","Nonanal","GLVs"
"voc10","cis-2-Nonenal","GLVs"
"voc11","Dodecane","Long chain alkanes"
"voc12","Decanal","GLVs"
"voc13","Tridecane","Long chain alkanes"
"voc14","Tetradecane","Long chain alkanes"
"voc15","Dodecanal","GLVs"
"voc16","trans-Geranylaceone","Terpenes"
"voc17","Tetradecanal","GLVs"
