ID;population;Gen;Treat;H_E;GLVs;Monoterpenes;Aromatic compounds ;Long-chain alkanes;Alcohols and esters;GLVsg;Monoterpenesg;Aromatic compoundsg;Long-chain alkanesg;Alcohols and estersg
B3o1;B;3;c;4;2.400460256;2.720734431;0.367837104;0.959733744;1.399699349;2.401460256;2.721734431;0.368837104;0.960733744;1.400699349
B3o2;B;3;c;3;0.638065295;0.291412539;0.19949433;0.163631237;0.385963428;0.639065295;0.292412539;0.20049433;0.164631237;0.386963428
B3o3;B;3;c;3;1.138099128;0.35017045;0.330984212;0.43480952;0.675276098;1.139099128;0.35117045;0.331984212;0.43580952;0.676276098
B14o1;B;14;c;3;5.842291845;0.266022701;0;1.31905854;1.359912151;5.843291845;0.267022701;0.001;1.32005854;1.360912151
B14o2;B;14;c;3;2.340734284;0.219934226;0.269377853;0.943162363;0.637989531;2.341734284;0.220934226;0.270377853;0.944162363;0.638989531
B14o3;B;14;c;3;2.973536656;0.286272408;0.206675195;0.902331944;1.093350127;2.974536656;0.287272408;0.207675195;0.903331944;1.094350127
B24o1;B;24;c;4;7.93714326;1.544455993;2.845262843;2.834683955;5.074334085;7.93814326;1.545455993;2.846262843;2.835683955;5.075334085
B24o2;B;24;c;4;9.006857186;1.812922866;1.616355265;2.919053236;5.758415465;9.007857186;1.813922866;1.617355265;2.920053236;5.759415465
B24o3;B;24;c;3;11.10521127;1.977745068;1.686499845;4.731239281;7.762352973;11.10621127;1.978745068;1.687499845;4.732239281;7.763352973
B28o1;B;28;c;4;17.45206542;29.63223777;1.428923166;12.44761698;4.623361576;17.45306542;29.63323777;1.429923166;12.44861698;4.624361576
B28o2;B;28;c;3;1.791627675;3.86220792;0.366303248;2.899879921;1.56269277;1.792627675;3.86320792;0.367303248;2.900879921;1.56369277
B28o3;B;28;c;3;8.319848458;1.281582041;2.37612132;2.4305108;2.293219822;8.320848458;1.282582041;2.37712132;2.4315108;2.294219822
B30o1;B;30;c;3;1.750015935;5.343734608;0.48880197;1.201776039;1.135170216;1.751015935;5.344734608;0.48980197;1.202776039;1.136170216
B30o2;B;30;c;4;0.116365522;0.179066675;0.031731927;0.038569317;0.039000785;0.117365522;0.180066675;0.032731927;0.039569317;0.040000785
B30o3;B;30;c;4;4.374242482;1.027789522;0.361844606;0.969848774;0.417081993;4.375242482;1.028789522;0.362844606;0.970848774;0.418081993
B37o1;B;37;c;3;0.453301549;0.302736403;0.08682184;0.165146724;0.126803159;0.454301549;0.303736403;0.08782184;0.166146724;0.127803159
