"population","treatment","voc","trait","r","p","n","significance"
"Bon","Control","voc1","adults",-0.394321081391551,0.230118639253758,11,""
"Bon","Control","voc2","adults",-0.344298460319379,0.299817171576484,11,""
"Bon","Control","voc3","adults",-0.298836663673482,0.372032762149962,11,""
"Bon","Control","voc4","adults",-0.109529081649829,0.748530468736924,11,""
"Bon","Control","voc5","adults",-0.254724816222942,0.449706318413905,11,""
"Bon","Control","voc6","adults",-0.243856850216283,0.469919426837604,11,""
"Bon","Control","voc7","adults",-0.32679190210509,0.326648425315532,11,""
"Bon","Control","voc8","adults",-0.335106648690389,0.313749925470715,11,""
"Bon","Control","voc9","adults",-0.187642190745812,0.580607417544661,11,""
"Bon","Control","voc10","adults",-0.21346466780331,0.528542082618971,11,""
"Bon","Control","voc11","adults",-0.11677848608872,0.732396906576085,11,""
"Bon","Control","voc12","adults",-0.184721965565022,0.586616561368325,11,""
"Bon","Control","voc13","adults",-0.11228546637507,0.742385099165659,11,""
"Bon","Control","voc14","adults",-0.1732012406199,0.610550177024541,11,""
"Bon","Control","voc15","adults",-0.203569232988279,0.548260732984441,11,""
"Bon","Control","voc16","adults",-0.18361607785979,0.588898382263456,11,""
"Bon","Control","voc17","adults",-0.0740509216935912,0.828692378093928,11,""
"Bon","Control","total","adults",-0.223933311551344,0.508011395661615,11,""
"Bon","Herbivore-induced","voc1","adults",-0.120509650979092,0.724130510222347,11,""
"Bon","Herbivore-induced","voc2","adults",-0.223563651026837,0.508730441059015,11,""
"Bon","Herbivore-induced","voc3","adults",-0.253810932238035,0.451390229169951,11,""
"Bon","Herbivore-induced","voc4","adults",0.0176127027465501,0.959008775958853,11,""
"Bon","Herbivore-induced","voc5","adults",0.015521271148753,0.963873384605237,11,""
"Bon","Herbivore-induced","voc6","adults",-0.00361890630174577,0.991574556872907,11,""
"Bon","Herbivore-induced","voc7","adults",-0.132338852556812,0.698100766347176,11,""
"Bon","Herbivore-induced","voc8","adults",-0.0714773358448942,0.834573910898121,11,""
"Bon","Herbivore-induced","voc9","adults",-0.171134319235297,0.614881373670087,11,""
"Bon","Herbivore-induced","voc10","adults",-0.14751728354441,0.665127276586559,11,""
"Bon","Herbivore-induced","voc11","adults",-0.105246627912326,0.758104204410809,11,""
"Bon","Herbivore-induced","voc12","adults",-0.149623402418614,0.660592282556547,11,""
"Bon","Herbivore-induced","voc13","adults",-0.169663806987135,0.617969546887045,11,""
"Bon","Herbivore-induced","voc14","adults",-0.0734848279194273,0.82998543086558,11,""
"Bon","Herbivore-induced","voc15","adults",-0.0466470865515487,0.891671066119589,11,""
"Bon","Herbivore-induced","voc16","adults",0.0726201473526612,0.831961235662949,11,""
"Bon","Herbivore-induced","voc17","adults",-0.105859172247641,0.756732914785174,11,""
"Bon","Herbivore-induced","total","adults",-0.132127240360483,0.6985639455018,11,""
"Bon","Control","voc1","adults1",-0.465502789241967,0.206671684682622,9,""
"Bon","Control","voc2","adults1",-0.440011375797238,0.235936120126661,9,""
"Bon","Control","voc3","adults1",-0.343140771738362,0.365967379087958,9,""
"Bon","Control","voc4","adults1",-0.514311089917367,0.156607136228848,9,""
"Bon","Control","voc5","adults1",-0.659904897840651,0.0531007186605204,9,""
"Bon","Control","voc6","adults1",-0.567522995710965,0.110971699156923,9,""
"Bon","Control","voc7","adults1",-0.493939927896934,0.176545367742474,9,""
"Bon","Control","voc8","adults1",-0.592476767543123,0.0927337214071097,9,""
"Bon","Control","voc9","adults1",-0.530719091824237,0.141544770640515,9,""
"Bon","Control","voc10","adults1",-0.469643745193675,0.20211887489573,9,""
"Bon","Control","voc11","adults1",-0.489406317457264,0.181169348719005,9,""
"Bon","Control","voc12","adults1",-0.492882148974605,0.177618152771422,9,""
"Bon","Control","voc13","adults1",-0.52367329938183,0.147903940114395,9,""
"Bon","Control","voc14","adults1",-0.5067641637421,0.163833632002515,9,""
"Bon","Control","voc15","adults1",-0.447783799927371,0.226788403108935,9,""
"Bon","Control","voc16","adults1",-0.611503924273023,0.0801495689924451,9,""
"Bon","Control","voc17","adults1",-0.466809922129484,0.205228454111195,9,""
"Bon","Control","total","adults1",-0.511229717913389,0.159534933599446,9,""
"Bon","Herbivore-induced","voc1","adults1",-0.272831989848696,0.477524078713587,9,""
"Bon","Herbivore-induced","voc2","adults1",-0.394036776284478,0.294016896541503,9,""
"Bon","Herbivore-induced","voc3","adults1",-0.315464728817537,0.408279111064632,9,""
"Bon","Herbivore-induced","voc4","adults1",-0.213923298260763,0.580478349242013,9,""
"Bon","Herbivore-induced","voc5","adults1",0.0579392251973677,0.882296873333401,9,""
"Bon","Herbivore-induced","voc6","adults1",-0.333956005202192,0.37976878522545,9,""
"Bon","Herbivore-induced","voc7","adults1",-0.333102755999581,0.381063174601035,9,""
"Bon","Herbivore-induced","voc8","adults1",-0.417388803380303,0.263673584056282,9,""
"Bon","Herbivore-induced","voc9","adults1",-0.0229623538088613,0.953242026149204,9,""
"Bon","Herbivore-induced","voc10","adults1",-0.411005364721007,0.271796964099021,9,""
"Bon","Herbivore-induced","voc11","adults1",-0.376161060540606,0.318394580715721,9,""
"Bon","Herbivore-induced","voc12","adults1",-0.39593546476649,0.291485724259631,9,""
"Bon","Herbivore-induced","voc13","adults1",-0.38161597202705,0.310851252047226,9,""
"Bon","Herbivore-induced","voc14","adults1",-0.334282509489798,0.379274022749808,9,""
"Bon","Herbivore-induced","voc15","adults1",-0.377573954105358,0.316432030333922,9,""
"Bon","Herbivore-induced","voc16","adults1",-0.0149855052802431,0.969477491733935,9,""
"Bon","Herbivore-induced","voc17","adults1",-0.312792208391055,0.412478171783357,9,""
"Bon","Herbivore-induced","total","adults1",-0.387564694285159,0.30272919537451,9,""
"Bon","Control","voc1","adults2",-0.199407766540784,0.556641223140343,11,""
"Bon","Control","voc2","adults2",0.132499932743766,0.697748254157833,11,""
"Bon","Control","voc3","adults2",0.0886873893102757,0.795400796891563,11,""
"Bon","Control","voc4","adults2",-0.0967785967527516,0.777124025029903,11,""
"Bon","Control","voc5","adults2",-0.27370398484351,0.415408172260563,11,""
"Bon","Control","voc6","adults2",-0.19717660110868,0.561155407105927,11,""
"Bon","Control","voc7","adults2",0.183045917614312,0.590076129355946,11,""
"Bon","Control","voc8","adults2",0.231373932138589,0.493632229375009,11,""
"Bon","Control","voc9","adults2",-0.297948239984681,0.37352518862213,11,""
"Bon","Control","voc10","adults2",0.313194357429068,0.348338883839462,11,""
"Bon","Control","voc11","adults2",0.143785790334934,0.673186805230953,11,""
"Bon","Control","voc12","adults2",-0.246323677962365,0.465295660940907,11,""
"Bon","Control","voc13","adults2",0.135031683491837,0.692214783446625,11,""
"Bon","Control","voc14","adults2",0.075166338056469,0.82614569973913,11,""
"Bon","Control","voc15","adults2",0.0634363470737181,0.852998206506,11,""
"Bon","Control","voc16","adults2",-0.238946657302824,0.47918458900495,11,""
"Bon","Control","voc17","adults2",0.120003471468831,0.725250422339267,11,""
"Bon","Control","total","adults2",-0.129126467797563,0.70514193809559,11,""
"Bon","Herbivore-induced","voc1","adults2",0.0942758229660419,0.782767001563901,11,""
"Bon","Herbivore-induced","voc2","adults2",0.287023009646303,0.392124947512747,11,""
"Bon","Herbivore-induced","voc3","adults2",0.168281332564929,0.620877904582873,11,""
"Bon","Herbivore-induced","voc4","adults2",0.199005405490925,0.557454219696327,11,""
"Bon","Herbivore-induced","voc5","adults2",-0.272707668364603,0.417176262680949,11,""
"Bon","Herbivore-induced","voc6","adults2",0.104181143923833,0.760490969376232,11,""
"Bon","Herbivore-induced","voc7","adults2",0.282114450772677,0.400628739323511,11,""
"Bon","Herbivore-induced","voc8","adults2",0.38460201783771,0.242842046008101,11,""
"Bon","Herbivore-induced","voc9","adults2",-0.285317153169365,0.395069981678842,11,""
"Bon","Herbivore-induced","voc10","adults2",0.372788575321917,0.258841325768757,11,""
"Bon","Herbivore-induced","voc11","adults2",0.0898197663149255,0.792837165541274,11,""
"Bon","Herbivore-induced","voc12","adults2",-0.280002762945533,0.40431486485227,11,""
"Bon","Herbivore-induced","voc13","adults2",0.0692705520044261,0.839623250678813,11,""
"Bon","Herbivore-induced","voc14","adults2",-0.0111760432665817,0.973983621753932,11,""
"Bon","Herbivore-induced","voc15","adults2",0.196216763969182,0.563101852696032,11,""
"Bon","Herbivore-induced","voc16","adults2",-0.18497292894234,0.586099208278582,11,""
"Bon","Herbivore-induced","voc17","adults2",0.114051284652413,0.738455259860715,11,""
"Bon","Herbivore-induced","total","adults2",0.0119548015352581,0.972171358389807,11,""
"Bon","Control","voc1","fitness",-0.59763473366474,0.0521671120652245,11,""
"Bon","Control","voc2","fitness",-0.0290004022762838,0.932547196738185,11,""
"Bon","Control","voc3","fitness",0.00847356855363973,0.980273410102332,11,""
"Bon","Control","voc4","fitness",-0.7039974684134,0.0156061240743508,11,"*"
"Bon","Control","voc5","fitness",-0.855841708026686,0.000776346301232609,11,"***"
"Bon","Control","voc6","fitness",-0.784092172884036,0.00428229254342598,11,"**"
"Bon","Control","voc7","fitness",-0.0287112516586582,0.933218440044519,11,""
"Bon","Control","voc8","fitness",-0.148602030565215,0.662790279771238,11,""
"Bon","Control","voc9","fitness",-0.860882041612014,0.000666514834887638,11,"***"
"Bon","Control","voc10","fitness",0.0373746100484326,0.913125738469514,11,""
