"population","treatment","trait","mean_r","n_significant"
"Bon","Control","greenhouse_flower_time",0.640347191781813,13
"Cai","Herbivore-induced","seed_germination",-0.48165854269645,8
"Cai","Control","seed_germination",-0.472294490717022,5
"Bon","Control","seed_germination",0.237145696866878,0
"Bon","Control","seed_weight",-0.195054236849197,0
"Bon","Herbivore-induced","greenhouse_flower_time",0.398161631576453,0
"Bon","Herbivore-induced","seed_germination",0.12698418584182,0
"Bon","Herbivore-induced","seed_weight",-0.0378217569581062,0
"Cai","Control","greenhouse_flower_time",0.114505537241183,0
"Cai","Control","seed_weight",-0.236393712019182,0
"Cai","Herbivore-induced","greenhouse_flower_time",0.065496119249817,0
"Cai","Herbivore-induced","seed_weight",-0.176726134268145,0
