"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.49 ","-0.29 ","-0.24 ","-0.16 "
"voc2","-0.45 ","-0.40 ","-0.24 ","-0.22 "
"voc3","-0.36 ","-0.32 ","-0.21 ","-0.24 "
"voc4","-0.42 ","-0.26 ","-0.28 ","-0.01 "
"voc5","-0.64 ","-0.07 ","-0.33 ","-0.26 "
"voc6","-0.62 ","-0.38 ","-0.29 ","-0.41 "
"voc7","-0.48 ","-0.35 ","-0.30 ","-0.36 "
"voc8","-0.57 ","-0.39 ","-0.50 ","-0.39 "
"voc9","-0.68 *","-0.11 ","-0.28 ","-0.27 "
"voc10","-0.45 ","-0.41 ","-0.29 ","-0.33 "
"voc11","-0.45 ","-0.35 ","-0.29 ","-0.23 "
"voc12","-0.58 ","-0.31 ","-0.27 ","-0.19 "
"voc13","-0.47 ","-0.37 ","-0.22 ","-0.13 "
"voc14","-0.45 ","-0.35 ","-0.24 ","-0.01 "
"voc15","-0.41 ","-0.44 ","-0.16 ","-0.08 "
"voc16","-0.63 ","0.06 ","-0.14 ","-0.23 "
"voc17","-0.43 ","-0.39 ","-0.15 ","0.01 "
"total","-0.55 ","-0.41 ","-0.28 ","-0.20 "
