"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.14 ","0.39 ","0.39 ","0.26 "
"voc2","0.35 ","0.55 ","-0.01 ","0.01 "
"voc3","0.32 ","0.43 ","0.10 ","0.06 "
"voc4","-0.17 ","0.35 ","0.43 ","0.44 "
"voc5","-0.27 ","-0.26 ","0.06 ","0.14 "
"voc6","-0.08 ","0.42 ","0.23 ","0.20 "
"voc7","0.32 ","0.59 ","0.24 ","0.24 "
"voc8","0.28 ","0.60 *","0.16 ","0.11 "
"voc9","-0.24 ","-0.19 ","-0.08 ","-0.02 "
"voc10","0.43 ","0.62 *","0.22 ","0.31 "
"voc11","0.12 ","0.38 ","-0.01 ","0.19 "
"voc12","-0.19 ","-0.18 ","0.02 ","0.14 "
"voc13","0.09 ","0.41 ","0.29 ","0.46 "
"voc14","0.03 ","0.21 ","0.28 ","0.33 "
"voc15","0.10 ","0.41 ","0.17 ","0.20 "
"voc16","-0.24 ","-0.16 ","0.20 ","0.23 "
"voc17","0.09 ","0.47 ","0.40 ","0.10 "
"total","-0.09 ","0.27 ","0.10 ","0.20 "
