"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.22 ","-0.30 ","0.04 ","0.01 "
"voc2","-0.06 ","-0.02 ","-0.13 ","-0.11 "
"voc3","-0.01 ","0.05 ","-0.13 ","-0.14 "
"voc4","-0.47 ","-0.28 ","0.02 ","0.07 "
"voc5","-0.51 ","-0.63 *","0.04 ","-0.05 "
"voc6","-0.57 ","-0.67 *","-0.05 ","0.18 "
"voc7","0.03 ","-0.09 ","-0.15 ","0.04 "
"voc8","-0.01 ","-0.14 ","-0.07 ","0.14 "
"voc9","-0.57 ","-0.54 ","-0.08 ","-0.07 "
"voc10","-0.08 ","0.04 ","-0.07 ","0.08 "
"voc11","-0.44 ","-0.60 ","-0.02 ","0.04 "
"voc12","-0.58 ","-0.64 *","0.01 ","-0.05 "
"voc13","-0.40 ","-0.53 ","-0.01 ","-0.02 "
"voc14","-0.39 ","-0.66 *","0.19 ","0.02 "
"voc15","-0.34 ","-0.42 ","-0.08 ","-0.10 "
"voc16","-0.56 ","-0.67 *","0.10 ","-0.01 "
"voc17","-0.46 ","-0.45 ","0.02 ","-0.06 "
"total","-0.48 ","-0.56 ","-0.01 ","-0.04 "
