"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.59 ","0.14 ","0.04 ","0.00 "
"voc2","0.32 ","0.20 ","-0.04 ","-0.02 "
"voc3","0.25 ","0.20 ","-0.06 ","-0.09 "
"voc4","0.57 ","0.15 ","0.06 ","0.03 "
"voc5","0.79 *","0.26 ","0.07 ","-0.04 "
"voc6","0.51 ","0.02 ","-0.08 ","0.21 "
"voc7","0.44 ","0.15 ","-0.10 ","0.07 "
"voc8","0.56 ","0.23 ","-0.06 ","0.19 "
"voc9","0.62 ","-0.13 ","-0.02 ","-0.04 "
"voc10","0.33 ","0.20 ","-0.02 ","0.11 "
"voc11","0.40 ","-0.01 ","0.07 ","0.07 "
"voc12","0.55 ","0.12 ","0.06 ","-0.02 "
"voc13","0.48 ","0.07 ","0.04 ","-0.06 "
"voc14","0.46 ","0.07 ","0.18 ","-0.04 "
"voc15","0.38 ","0.25 ","-0.01 ","-0.12 "
"voc16","0.69 *","0.04 ","0.11 ","-0.02 "
"voc17","0.40 ","0.09 ","0.02 ","-0.06 "
"total","0.53 ","0.17 ","0.03 ","-0.03 "
