"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.17 ","0.13 ","0.47 ","0.36 "
"voc2","0.38 ","0.54 ","0.17 ","0.21 "
"voc3","0.43 ","0.57 ","0.28 ","0.27 "
"voc4","-0.53 ","-0.01 ","0.47 ","0.30 "
"voc5","-0.53 ","-0.80 **","0.26 ","0.34 "
"voc6","-0.45 ","-0.23 ","0.16 ","0.31 "
"voc7","0.33 ","0.48 ","0.35 ","0.42 "
"voc8","0.19 ","0.27 ","0.26 ","0.27 "
"voc9","-0.57 ","-0.50 ","0.14 ","0.15 "
"voc10","0.33 ","0.58 ","0.34 ","0.44 "
"voc11","-0.26 ","-0.16 ","0.07 ","0.33 "
"voc12","-0.51 ","-0.59 ","0.24 ","0.28 "
"voc13","-0.30 ","-0.02 ","0.30 ","0.42 "
"voc14","-0.28 ","-0.30 ","0.33 ","0.25 "
"voc15","-0.15 ","-0.07 ","0.28 ","0.14 "
"voc16","-0.57 ","-0.75 **","0.39 ","0.36 "
"voc17","-0.33 ","0.03 ","0.54 *","0.10 "
"total","-0.40 ","-0.22 ","0.28 ","0.35 "
