"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.14 ","0.51 ","0.39 ","0.30 "
"voc2","0.37 ","0.38 ","0.38 ","0.38 "
"voc3","0.19 ","0.44 ","0.42 ","0.36 "
"voc4","0.09 ","0.56 ","0.44 ","0.12 "
"voc5","0.40 ","-0.01 ","0.27 ","0.35 "
"voc6","0.17 ","0.21 ","0.33 ","0.24 "
"voc7","0.35 ","0.36 ","0.46 ","0.35 "
"voc8","0.31 ","0.46 ","0.32 ","0.22 "
"voc9","0.71 *","-0.45 ","0.36 ","0.38 "
"voc10","0.37 ","0.35 ","0.39 ","0.33 "
"voc11","0.25 ","0.14 ","0.50 ","0.45 "
"voc12","0.62 ","0.15 ","0.31 ","0.36 "
"voc13","0.53 ","0.27 ","0.37 ","0.33 "
"voc14","0.63 ","0.29 ","0.26 ","0.19 "
"voc15","0.55 ","0.53 ","0.40 ","0.32 "
"voc16","0.73 *","0.44 ","0.29 ","0.33 "
"voc17","0.56 ","0.24 ","0.48 ","0.20 "
"total","0.46 ","0.40 ","0.38 ","0.37 "
