"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.83 **","0.46 ","0.05 ","-0.01 "
"voc2","0.61 *","0.38 ","0.16 ","0.14 "
"voc3","0.61 *","0.38 ","0.18 ","0.15 "
"voc4","0.66 *","0.41 ","-0.04 ","-0.26 "
"voc5","0.52 ","0.31 ","0.21 ","0.19 "
"voc6","0.60 ","0.39 ","0.01 ","0.22 "
"voc7","0.68 *","0.34 ","0.07 ","0.13 "
"voc8","0.76 **","0.40 ","0.24 ","0.26 "
"voc9","0.47 ","0.32 ","0.25 ","0.23 "
"voc10","0.63 *","0.31 ","0.15 ","0.20 "
"voc11","0.78 **","0.40 ","0.07 ","0.15 "
"voc12","0.51 ","0.49 ","0.26 ","0.10 "
"voc13","0.69 *","0.40 ","-0.08 ","-0.11 "
"voc14","0.66 *","0.49 ","0.11 ","-0.14 "
"voc15","0.68 *","0.48 ","0.10 ","-0.08 "
"voc16","0.49 ","0.26 ","0.03 ","0.14 "
"voc17","0.67 *","0.43 ","0.10 ","-0.11 "
"total","0.67 *","0.53 ","0.19 ","-0.05 "
