"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.12 ","0.11 ","-0.35 ","-0.24 "
"voc2","-0.14 ","-0.24 ","-0.37 ","-0.36 "
"voc3","-0.15 ","-0.22 ","-0.32 ","-0.32 "
"voc4","0.35 ","0.15 ","-0.34 ","-0.01 "
"voc5","0.47 ","0.60 *","-0.48 ","-0.45 "
"voc6","0.37 ","0.25 ","-0.43 ","-0.46 "
"voc7","-0.20 ","-0.20 ","-0.35 ","-0.46 "
"voc8","-0.17 ","-0.07 ","-0.52 *","-0.56 *"
"voc9","0.52 ","0.48 ","-0.47 ","-0.51 "
"voc10","-0.15 ","-0.34 ","-0.34 ","-0.39 "
"voc11","0.24 ","0.25 ","-0.51 ","-0.41 "
"voc12","0.50 ","0.54 ","-0.47 ","-0.41 "
"voc13","0.25 ","0.17 ","-0.35 ","-0.24 "
"voc14","0.29 ","0.39 ","-0.37 ","-0.16 "
"voc15","0.23 ","0.11 ","-0.34 ","-0.27 "
"voc16","0.50 ","0.61 *","-0.38 ","-0.40 "
"voc17","0.31 ","0.13 ","-0.42 ","-0.20 "
"total","0.37 ","0.29 ","-0.46 ","-0.40 "
