"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.20 ","0.39 ","-0.31 ","-0.20 "
"voc2","0.44 ","0.48 ","-0.33 ","-0.32 "
"voc3","0.39 ","0.37 ","-0.27 ","-0.26 "
"voc4","0.14 ","0.39 ","-0.27 ","0.03 "
"voc5","0.20 ","0.17 ","-0.47 ","-0.46 "
"voc6","0.24 ","0.40 ","-0.40 ","-0.41 "
"voc7","0.40 ","0.47 ","-0.25 ","-0.42 "
"voc8","0.44 ","0.56 ","-0.40 ","-0.54 *"
"voc9","0.22 ","0.33 ","-0.46 ","-0.54 *"
"voc10","0.51 ","0.44 ","-0.25 ","-0.33 "
"voc11","0.41 ","0.49 ","-0.50 ","-0.41 "
"voc12","0.24 ","0.25 ","-0.48 ","-0.43 "
"voc13","0.35 ","0.46 ","-0.30 ","-0.22 "
"voc14","0.32 ","0.41 ","-0.35 ","-0.17 "
"voc15","0.38 ","0.46 ","-0.30 ","-0.27 "
"voc16","0.21 ","0.09 ","-0.44 ","-0.40 "
"voc17","0.39 ","0.52 ","-0.45 ","-0.21 "
"total","0.32 ","0.49 ","-0.45 ","-0.40 "
