"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.21 ","0.02 ","-0.42 ","-0.47 "
"voc2","0.08 ","-0.03 ","-0.50 ","-0.52 *"
"voc3","0.04 ","-0.14 ","-0.47 ","-0.50 "
"voc4","0.30 ","0.11 ","-0.31 ","-0.20 "
"voc5","0.26 ","0.23 ","-0.58 *","-0.60 *"
"voc6","0.26 ","0.18 ","-0.48 ","-0.51 "
"voc7","0.15 ","-0.09 ","-0.32 ","-0.51 "
"voc8","0.33 ","0.20 ","-0.54 *","-0.56 *"
"voc9","0.23 ","0.30 ","-0.65 **","-0.64 *"
"voc10","0.16 ","-0.04 ","-0.36 ","-0.39 "
"voc11","0.34 ","0.28 ","-0.42 ","-0.52 *"
"voc12","0.21 ","0.22 ","-0.69 **","-0.52 *"
"voc13","0.34 ","0.15 ","-0.27 ","-0.30 "
"voc14","0.29 ","0.18 ","-0.49 ","-0.38 "
"voc15","0.26 ","0.12 ","-0.51 ","-0.48 "
"voc16","0.25 ","0.20 ","-0.45 ","-0.56 *"
"voc17","0.29 ","0.20 ","-0.45 ","-0.53 *"
"total","0.28 ","0.19 ","-0.60 *","-0.47 "
