"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.16 ","0.19 ","0.48 ","0.38 "
"voc2","0.40 ","0.55 ","0.15 ","0.20 "
"voc3","0.44 ","0.60 ","0.27 ","0.26 "
"voc4","-0.53 ","0.05 ","0.49 ","0.33 "
"voc5","-0.53 ","-0.79 **","0.27 ","0.33 "
"voc6","-0.44 ","-0.21 ","0.19 ","0.33 "
"voc7","0.34 ","0.49 ","0.35 ","0.43 "
"voc8","0.18 ","0.29 ","0.27 ","0.28 "
"voc9","-0.55 ","-0.52 ","0.13 ","0.14 "
"voc10","0.34 ","0.58 ","0.34 ","0.44 "
"voc11","-0.24 ","-0.16 ","0.09 ","0.35 "
"voc12","-0.50 ","-0.58 ","0.24 ","0.26 "
"voc13","-0.27 ","-0.01 ","0.32 ","0.44 "
"voc14","-0.24 ","-0.29 ","0.35 ","0.28 "
"voc15","-0.11 ","-0.03 ","0.28 ","0.16 "
"voc16","-0.56 ","-0.73 *","0.39 ","0.36 "
"voc17","-0.29 ","0.06 ","0.55 *","0.12 "
"total","-0.37 ","-0.20 ","0.28 ","0.35 "
