"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","0.11 ","0.50 ","0.35 ","0.29 "
"voc2","0.34 ","0.34 ","0.38 ","0.38 "
"voc3","0.17 ","0.41 ","0.39 ","0.35 "
"voc4","0.04 ","0.59 ","0.36 ","0.14 "
"voc5","0.33 ","0.07 ","0.25 ","0.34 "
"voc6","0.15 ","0.12 ","0.32 ","0.24 "
"voc7","0.32 ","0.30 ","0.46 ","0.34 "
"voc8","0.32 ","0.44 ","0.33 ","0.25 "
"voc9","0.32 ","-0.45 ","0.34 ","0.38 "
"voc10","0.36 ","0.29 ","0.38 ","0.37 "
"voc11","0.33 ","0.05 ","0.49 ","0.46 "
"voc12","0.49 ","0.03 ","0.30 ","0.35 "
"voc13","0.55 ","0.19 ","0.37 ","0.33 "
"voc14","0.70 *","0.22 ","0.25 ","0.17 "
"voc15","0.57 ","0.50 ","0.46 ","0.33 "
"voc16","0.61 ","0.47 ","0.26 ","0.34 "
"voc17","0.58 ","0.22 ","0.46 ","0.19 "
"total","0.45 ","0.35 ","0.37 ","0.36 "
