"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.59 ","-0.28 ","0.16 ","0.11 "
"voc2","-0.22 ","0.04 ","-0.00 ","-0.05 "
"voc3","-0.16 ","-0.01 ","0.03 ","-0.02 "
"voc4","-0.54 ","-0.28 ","0.17 ","0.20 "
"voc5","-0.78 **","-0.70 *","-0.14 ","0.00 "
"voc6","-0.72 *","-0.33 ","0.26 ","-0.07 "
"voc7","-0.13 ","0.08 ","0.15 ","-0.03 "
"voc8","-0.15 ","0.01 ","0.07 ","-0.10 "
"voc9","-0.79 **","-0.70 *","-0.05 ","0.01 "
"voc10","-0.07 ","0.22 ","0.07 ","-0.02 "
"voc11","-0.40 ","-0.42 ","0.07 ","0.05 "
"voc12","-0.78 **","-0.81 **","-0.07 ","0.03 "
"voc13","-0.45 ","-0.40 ","0.18 ","0.26 "
"voc14","-0.58 ","-0.57 ","0.07 ","0.24 "
"voc15","-0.52 ","-0.27 ","0.18 ","0.28 "
"voc16","-0.78 **","-0.66 *","-0.07 ","0.06 "
"voc17","-0.48 ","-0.34 ","0.16 ","0.24 "
"total","-0.71 *","-0.52 ","0.00 ","0.11 "
