"voc","Bon_Control","Bon_Herbivore-induced","Cai_Control","Cai_Herbivore-induced"
"voc1","-0.38 ","-0.51 ","0.05 ","0.08 "
"voc2","-0.38 ","-0.33 ","0.10 ","0.08 "
"voc3","-0.25 ","-0.37 ","0.11 ","0.07 "
"voc4","-0.35 ","-0.50 ","0.10 ","0.04 "
"voc5","-0.45 ","-0.25 ","-0.08 ","0.04 "
"voc6","-0.19 ","-0.19 ","0.06 ","-0.16 "
"voc7","-0.42 ","-0.29 ","0.10 ","-0.05 "
"voc8","-0.43 ","-0.49 ","-0.09 ","-0.14 "
"voc9","-0.79 *","0.12 ","0.04 ","-0.00 "
"voc10","-0.38 ","-0.31 ","0.06 ","-0.08 "
"voc11","-0.30 ","-0.27 ","0.12 ","0.06 "
"voc12","-0.59 ","-0.52 ","-0.02 ","0.08 "
"voc13","-0.54 ","-0.32 ","0.14 ","0.11 "
"voc14","-0.65 ","-0.34 ","0.04 ","0.14 "
"voc15","-0.55 ","-0.50 ","0.21 ","0.19 "
"voc16","-0.58 ","-0.45 ","0.01 ","0.02 "
"voc17","-0.57 ","-0.36 ","0.20 ","0.27 "
"total","-0.53 ","-0.46 ","0.03 ","0.10 "
